"","x"
"(Intercept)",-2.3289386846595
"video",2.98545417894423
"is_retweet",-19.7209638244362
"hashtag_presence",1.35823707638061
"photo",1.56457484606375
"url_present",-1.23587350414848
"question",-1.04687202900051
"display_text_width",0.0089633553651713
