"","X","created_at","screen_name","text","display_text_width","is_quote","is_retweet","favorite_count","retweet_count","url_present","video","photo","WD","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","year","month","January","February","March","April","May","June","July","August","September","October","November","hour","afternoon","evening","mentions_count","mentions_presence","hashtag_count","hashtag_presence","emoji_count","emoji_presence","mentions_sqrt","emoji_sqrt","favorite_log","retweet_log","target_fav_norm","target_RT_norm","target_fav","target_RT","tweet_length_scaled","followers_count_scaled","question","athletes_mentions","text_lemma","word_total","noun_freq","verb_freq","topic_1","topic_2","topic_3","topic_4","topic_5","sentiment_analysis"
"12",12,"2018-10-18","Nike","Kids from Akron don’t just dream it. They do it. #justdoit https://t.co/Cmj2caP2Mq",58,0,0,48729,11504,0,0,1,"Thursday",0,0,0,1,0,0,2018,"October",0,0,0,0,0,0,0,0,0,1,0,16,1,0,0,0,1,1,0,0,0,0,10.7940296143875,9.35045007996083,1,1,1,1,1.07984313138947,5.14296990122633,0,0,"kid from akron do not just dream it they do it",11,0.181818181818182,0.181818181818182,1,0,0,0,0,6.37
"13",13,"2018-10-07","Nike","First to the finish, second to none. Congratulations Brigid Kosgei on your #chicagomarathon victory. #justdoit",110,0,0,991,194,0,0,0,"Sunday",0,0,0,0,0,0,2018,"October",0,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,2,1,0,0,0,0,6.89871453432999,5.26785815906333,1,1,1,0,2.20287998803451,5.14296990122633,0,0,"first to the finish second to none congratulation brigid kosgei on you victory",13,0.307692307692308,0,1,0,1,0,0,6.772
"14",14,"2018-10-07","Nike","That’s Mo like it. #justdoit #chicagomarathon",45,0,0,1663,268,0,0,0,"Sunday",0,0,0,0,0,0,2018,"October",0,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,2,1,0,0,0,0,7.41637847919293,5.59098698051086,1,1,1,1,0.799083917228206,5.14296990122633,0,0,"that mo like it",3,0.333333333333333,0.333333333333333,1,0,1,0,0,7.44
"15",15,"2018-10-06","Nike","Dreams don’t have an expiration date. #justdoit https://t.co/BVE9qaVtdP",47,0,0,41217,11234,0,1,0,"Saturday",0,0,0,0,0,1,2018,"October",0,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,1,1,0,0,0,0,10.6266060715921,9.32670017309238,1,1,1,1,0.842277642483785,5.14296990122633,0,0,"dream do not have a expiration date",7,0.428571428571429,0.142857142857143,0,1,0,0,0,3.522
"16",16,"2018-09-24","Nike","He’s done it again.   Never stop chasing your crazy dreams. #justdoit https://t.co/sVXo12E1r9",69,0,0,31103,6055,0,0,1,"Monday",1,0,0,0,0,0,2018,"September",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,10.3450595565376,8.70863965598719,1,1,1,1,1.31740862029515,5.14296990122633,0,0,"he do it again never stop chase you crazy dream",10,0.1,0.3,0,1,0,0,0,5.296
"17",17,"2018-09-16","Nike","Yesterday, 2:01:39 seemed crazy. Today, it’s the marathon world record. #justdoit https://t.co/dm7JeOCPqN",81,0,0,29695,8857,0,0,1,"Sunday",0,0,0,0,0,0,2018,"September",0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,1,0,0,0,0,10.29873396045,9.08896338580958,1,1,1,1,1.57657097182862,5.14296990122633,0,0,"yesterday seem crazy today it be the marathon world record",10,0.5,0.1,1,0,0,0,0,5.76666666666667
"18",18,"2018-09-15","Nike","Don't just be the fastest marathon runner in the world. Be the fastest in history. #justdoit   https://t.co/jGcoNy3Wsy",107,0,0,6472,2653,0,1,0,"Saturday",0,0,0,0,0,1,2018,"September",0,0,0,0,0,0,0,0,1,0,0,15,1,0,1,1,1,1,0,0,1,0,8.77524045873833,7.88344635413774,1,1,1,1,2.13808940015115,5.14296990122633,0,1,"do not just be the fastest marathon runner in the world be the fastest in history",16,0.25,0,0,1,0,0,0,5.91285714285714
"19",19,"2018-09-05","Nike","Don’t ask if your dreams are crazy. Ask if they’re crazy enough. #justdoit https://t.co/Wd5L42egV8",74,0,0,520832,225447,0,1,0,"Wednesday",0,0,1,0,0,0,2018,"September",0,0,0,0,0,0,0,0,1,0,0,17,1,0,0,0,1,1,0,0,0,0,13.1631828119213,12.3258403770408,1,1,1,1,1.4253929334341,5.14296990122633,0,0,"do not ask if you dream be crazy ask if they be crazy enough",14,0.0714285714285714,0.0714285714285714,0,0,0,1,0,4.435
"20",20,"2018-09-03","Nike","Believe in something, even if it means sacrificing everything. #JustDoIt https://t.co/SRWkMIDdaO",113,0,1,0,361667,0,0,1,"Monday",1,0,0,0,0,0,2018,"September",0,0,0,0,0,0,0,0,1,0,0,21,0,1,0,0,1,1,0,0,0,0,0,12.7984791779471,0,1,0,1,2.26767057591788,5.14296990122633,0,0,"believe in something even if it mean sacrifice everything",9,0,0.333333333333333,1,0,0,0,0,4.74666666666667
"21",21,"2018-08-27","Nike","It’s only a crazy dream until you do it. #justdoit   https://t.co/8XUuJwBbXw",66,0,0,105100,35651,0,1,0,"Monday",1,0,0,0,0,0,2018,"August",0,0,0,0,0,0,0,1,0,0,0,15,1,0,1,1,1,1,0,0,1,0,11.562667556865,10.4815324759399,1,1,1,1,1.25261803241178,5.14296990122633,0,1,"its only a crazy dream until you do it",9,0.111111111111111,0.111111111111111,0,0,1,0,0,5.99333333333333
