"","X","created_at","screen_name","text","display_text_width","is_quote","is_retweet","favorite_count","retweet_count","url_present","video","photo","WD","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","year","month","January","February","March","April","May","June","July","August","September","October","November","hour","afternoon","evening","mentions_count","mentions_presence","hashtag_count","hashtag_presence","emoji_count","emoji_presence","mentions_sqrt","emoji_sqrt","favorite_log","retweet_log","target_fav_norm","target_RT_norm","target_fav","target_RT","tweet_length_scaled","followers_count_scaled","question","athletes_mentions","text_lemma","word_total","noun_freq","verb_freq","topic_1","topic_2","topic_3","topic_4","topic_5","sentiment_analysis"
"603",606,"2017-08-17","Columbia1938","#OMNItalk starts now! https://t.co/QOumm6bFUR",21,0,0,11,2,0,0,1,"Thursday",0,0,0,1,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,0,1,1,0,0,0,0,2.39789527279837,0.693147180559945,0,0,0,0,0.280759214161262,0,0,0,"start now",2,0,0.5,0,0,0,1,1,6.41
"604",607,"2017-08-17","Columbia1938","30 Minutes to #OMNItalk. Get ready. https://t.co/WoScCRs7uR",35,0,0,3,1,0,0,1,"Thursday",0,0,0,1,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,0,1,1,0,0,0,0,1.09861228866811,0,0,0,0,0,0.583115290950313,0,0,0,"minute to get ready",4,0.25,0.25,0,0,0,1,0,6.07666666666667
"605",608,"2017-08-17","Columbia1938","We are only 1 hour away from #OMNItalk. DON'T PANIC. https://t.co/DLiZm7ltmW",52,0,0,3,0,0,0,1,"Thursday",0,0,0,1,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,1,1,0,0,0,0,1.09861228866811,0,0,0,0,0,0.950261955622732,0,0,0,"we be only hour away from do not panic",9,0.222222222222222,0,0,1,0,1,0,3.52
"606",609,"2017-08-17","Columbia1938","The eclipse will be like when the teacher turns off the light when kids in class get too loud.",94,0,0,13,4,0,0,0,"Thursday",0,0,0,1,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.56494935746154,1.38629436111989,0,0,0,0,1.85733018598988,0,0,0,"the eclipse will be like when the teacher turn off the light when kid in class get too loud",19,0.263157894736842,0.105263157894737,0,0,1,0,0,6.412
"607",610,"2017-08-16","Columbia1938","Join us on Facebook this weekend as we live stream the eclipse with a few of our friends <U+0001F60E> https://t.co/LVLr0nV1Yh",90,1,0,11,2,1,0,0,"Wednesday",0,0,1,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,20,0,1,0,0,0,0,1,1,0,1,2.39789527279837,0.693147180559945,0,0,0,0,1.77094273547873,0,0,0,"join we on facebook this weekend as we live stream the eclipse with a few of we friend ufe",19,0.315789473684211,0.157894736842105,0,0,1,0,0,6.97928571428571
"608",611,"2017-08-16","Columbia1938","Time to purge your closet. No you will not wear that dress that you haven't worn in 2 yrs. <U+267B><U+FE0F>  it with #ReThreads https://t.co/I33oTA29AU https://t.co/sHQUBes52i",137,0,0,19,6,1,0,1,"Wednesday",0,0,1,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,0,1,1,2,1,0,1.4142135623731,2.94443897916644,1.79175946922805,0,0,0,0,2.78599527898483,0,0,0,"time to purge you closet no you will not wear that dress that you havent worn in year ubufef it with",21,0.19047619047619,0.142857142857143,0,1,0,1,0,3.63428571428571
"609",612,"2017-08-16","Columbia1938","#OMNItalk is tomorrow. Don't forget! We'll be exploring #Oregon with  . https://t.co/fcFpH7xwnJ",83,0,0,12,4,0,0,1,"Wednesday",0,0,1,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,15,1,0,1,1,2,1,0,0,1,0,2.484906649788,1.38629436111989,0,0,0,0,1.6197646970842,0,0,0,"be tomorrow do not forget well be explor with",9,0.111111111111111,0.222222222222222,1,0,0,1,0,3.51
"610",613,"2017-08-15","Columbia1938","Meet our new gear testers. You may have heard of them,   and   ring a bell? #TestedTough https://t.co/Jgu9CoCHO2",106,0,0,200,87,0,1,0,"Tuesday",0,1,0,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,16,1,0,2,1,1,1,0,0,1.4142135623731,0,5.29831736654804,4.46590811865458,1,1,0,0,2.11649253752336,0,1,0,"meet we new gear tester you may have hear of they and ring a bell",15,0.2,0.2,0,0,0,1,0,6.22625
"611",614,"2017-08-15","Columbia1938","#OMNItalk is only days away. We're talking about our beloved #Oregon with  . https://t.co/X3J9FqCqkR",88,0,0,2,0,0,0,1,"Tuesday",0,1,0,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0.693147180559945,0,0,0,0,0,1.72774901022315,0,0,0,"be only day away be talk about we beloved with",10,0.1,0.1,0,1,0,0,0,6.548
"612",615,"2017-08-13","Columbia1938","Have you hiked the #PCT? Whether a day hike or a thru hike, it's important to maintain this popular trail: https://t.co/H7ymtyvzos https://t.co/1EwvsbxE3q",130,0,0,5,0,1,0,1,"Sunday",0,0,0,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,14,1,0,0,0,1,1,0,0,0,0,1.6094379124341,0,0,0,0,0,2.6348172405903,0,1,0,"have you hik the whether a day hike or a thru hike its important to maintain this popular trail",19,0.210526315789474,0.157894736842105,1,0,0,0,0,6.31875
"613",616,"2017-08-12","Columbia1938","Are you a newbie #mountaineer? Learn the lingo from fellow newbie,  . https://t.co/384qsbArHu https://t.co/vx2j7Wr4bh",104,0,0,9,0,1,0,1,"Saturday",0,0,0,0,0,1,2017,"August",0,0,0,0,0,0,0,1,0,0,0,14,1,0,1,1,1,1,0,0,1,0,2.19722457733622,0,0,0,0,0,2.07329881226778,0,1,1,"be you a newbie learn the lingo from fellow newbie",10,0.3,0.1,1,0,0,0,0,6.16
"614",617,"2017-08-11","Columbia1938","The average American throws away approximately 70 lbs. of clothes per year. That's a lot of stinky socks. #ReThreads https://t.co/7NNLYDZFUy https://t.co/bHIpF0lHwt",140,0,0,6,0,1,0,1,"Friday",0,0,0,0,1,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,22,0,1,0,0,1,1,0,0,0,0,1.79175946922805,0,0,0,0,0,2.8507858668682,0,0,0,"the average american throw away approximately lb of clothes per year that be a lot of stinky sock",18,0.333333333333333,0,0,1,0,0,1,5.24714285714286
"615",618,"2017-08-11","Columbia1938","Summiting #MtShasta wasn't easy, but it was a rewarding journey for  : https://t.co/jrZV8ApR2C https://t.co/f9ouWDSjjZ",108,0,0,8,0,1,0,1,"Friday",0,0,0,0,1,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,14,1,0,1,1,1,1,0,0,1,0,2.07944154167984,0,0,0,0,0,2.15968626277894,0,0,1,"summiting be not easy but it be a rewarding journey for",11,0.272727272727273,0,0,0,1,1,0,3.658
"616",619,"2017-08-11","Columbia1938","Fact: What happens in the dark, stays in the dark. #Eclipse2017",63,0,0,10,2,0,0,0,"Friday",0,0,0,0,1,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2.30258509299405,0.693147180559945,0,0,0,0,1.18782744452841,0,0,0,"fact what happen in the dark stay in the dark",10,0.3,0.2,0,0,0,0,1,5.606
"617",620,"2017-08-11","Columbia1938","Rumor has it the sun is calling in sick during the eclipse and made the moon cover for them. #Eclipse2017",105,0,0,13,4,0,0,0,"Friday",0,0,0,0,1,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2.56494935746154,1.38629436111989,0,0,0,0,2.09489567489557,0,0,0,"rumor have it the sun be call in sick during the eclipse and make the moon cover for they",19,0.263157894736842,0.157894736842105,0,1,1,1,0,5.601
"618",621,"2017-08-10","Columbia1938","A #summit attempt isn't just about skill and stamina, it's also about having the right gear. https://t.co/7IZba4m2mK https://t.co/xhNgRBiaZv",116,0,0,5,0,1,0,1,"Thursday",0,0,0,1,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,14,1,0,0,0,1,1,0,0,0,0,1.6094379124341,0,0,0,0,0,2.33246116380125,0,0,0,"a attempt be not just about skill and stamina it be also about have the right gear",17,0.235294117647059,0.0588235294117647,0,0,0,0,1,6.24125
"619",622,"2017-08-09","Columbia1938","It's all about that base(layer). Check out  's gear while she was up on Mt. Shasta. https://t.co/BHvJFzLC44 https://t.co/6EDRFAx2lD",118,0,0,5,0,1,0,1,"Wednesday",0,0,1,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,22,0,1,1,1,0,0,0,0,1,0,1.6094379124341,0,0,0,0,0,2.37565488905683,0,0,1,"its all about that baselayer check out 's gear while she be up on mt shasta",15,0.2,0.133333333333333,0,1,0,0,0,5.97333333333333
"620",623,"2017-08-09","Columbia1938","Did you know that in the U.S. 85% of clothes end up in the landfill? Let's change that: https://t.co/OaIjZiFyDG https://t.co/2Et0z7M9Ia",111,0,0,23,18,1,0,1,"Wednesday",0,0,1,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,3.13549421592915,2.89037175789616,0,1,0,0,2.2244768506623,0,1,0,"do you know that in the us of clothes end up in the landfill let change that",17,0.235294117647059,0.117647058823529,0,1,0,0,0,5.41571428571429
"621",624,"2017-08-08","Columbia1938","Our Directors of Toughness attempt to summit #MtShasta. Will they overcome the physical and emotional challenges? https://t.co/giDzxxHGVf https://t.co/1vmnK5P638",137,0,0,12,1,1,1,0,"Tuesday",0,1,0,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,1,1,0,0,0,0,2.484906649788,0,0,0,0,0,2.78599527898483,0,1,0,"we director of toughness attempt to summit will they overcome the physical and emotional challenge",15,0.266666666666667,0.133333333333333,0,0,1,0,0,5.6925
"622",625,"2017-08-08","Columbia1938","I think it's safe to say, the sun is going to get mooned. Thoughts? #Eclipse2017",80,0,0,15,7,0,0,0,"Tuesday",0,1,0,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2.70805020110221,1.94591014905531,0,0,0,0,1.55497410920083,0,1,0,"i think it be safe to say the sun be go to get mooned thought",15,0.133333333333333,0.266666666666667,0,1,1,0,0,6.52666666666667
"623",626,"2017-08-07","Columbia1938","Stay golden <U+2728> Photo: [IG]  .brady https://t.co/ECJcs4DS62",38,0,0,18,4,0,0,1,"Monday",1,0,0,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,2.89037175789616,1.38629436111989,0,0,0,0,0.647905878833681,0,0,0,"stay golden u photo ig brady",6,0.333333333333333,0.166666666666667,0,0,1,0,1,6.81625
"624",627,"2017-08-06","Columbia1938","What's your definition of car camping?",38,0,0,10,6,0,0,0,"Sunday",0,0,0,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,23,0,1,0,0,0,0,0,0,0,0,2.30258509299405,1.79175946922805,0,0,0,0,0.647905878833681,0,1,0,"what be you definition of car camping",7,0.428571428571429,0,0,0,1,1,1,6.1325
"625",628,"2017-08-05","Columbia1938","Does the moon have to wear sunscreen during the eclipse? #Eclipse2017",69,0,0,8,2,0,0,0,"Saturday",0,0,0,0,0,1,2017,"August",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2.07944154167984,0.693147180559945,0,0,0,0,1.31740862029515,0,1,0,"do the moon have to wear sunscreen during the eclipse",10,0.3,0.2,0,1,0,0,0,6.19333333333333
"626",629,"2017-08-04","Columbia1938","Meet your eclipse chasers. <U+0001F60E>  https://t.co/v9KhcDEbtN https://t.co/4A8bn9olYW",53,0,0,8,1,1,0,1,"Friday",0,0,0,0,1,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,17,1,0,0,0,0,0,1,1,0,1,2.07944154167984,0,0,0,0,0,0.971858818250521,0,0,0,"meet you eclipse chaser ufe",5,0.4,0.2,1,0,0,0,0,6.25625
"627",630,"2017-08-04","Columbia1938","What if the eclipse is the moon's way of throwing shading at us? #Eclipse2017",77,0,0,7,2,0,0,0,"Friday",0,0,0,0,1,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1.94591014905531,0.693147180559945,0,0,0,0,1.49018352131747,0,1,0,"what if the eclipse be the moon way of throw shade at we",13,0.230769230769231,0.153846153846154,0,1,1,1,0,6.21833333333333
"628",631,"2017-08-03","Columbia1938","We're craving an #adventure. <U+0001F4F8>: [IG]   https://t.co/RZxTsDBjNL",50,0,0,39,7,0,0,1,"Thursday",0,0,0,1,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,15,1,0,1,1,1,1,1,1,1,1,3.66356164612965,1.94591014905531,1,0,0,0,0.907068230367153,0,0,0,"be crave a uff ig",5,0.4,0.2,1,0,0,0,0,5.795
"629",632,"2017-08-03","Columbia1938","Are deep thoughts deeper in deep space? <U+0001F4AB>",41,0,0,13,2,0,0,0,"Thursday",0,0,0,1,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2.56494935746154,0.693147180559945,0,0,0,0,0.712696466717049,0,1,0,"be deep thought deeper in deep space ufab",8,0.375,0,0,1,0,1,1,6.36833333333333
"630",633,"2017-08-02","Columbia1938","Sometimes when we close our eyes, we dream about trekking the Italian Dolomites. Can you picture it? <U+0001F4F8>:   https://t.co/vODnlcjqzH",117,0,0,20,2,0,0,1,"Wednesday",0,0,1,0,0,0,2017,"August",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,2.99573227355399,0.693147180559945,0,0,0,0,2.35405802642904,0,1,0,"sometimes when we close we eye we dream about trekk the italian dolomite can you picture it uff",18,0.166666666666667,0.222222222222222,1,0,1,0,0,6.396
"631",634,"2017-07-31","Columbia1938","Our month of #nightphotography has come to an end. Here's to long nights and dark skies <U+2728> Photo: [IG]  https://t.co/EraDVW6jqJ",112,0,0,28,8,0,0,1,"Monday",1,0,0,0,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,17,1,0,1,1,1,1,1,1,1,1,3.3322045101752,2.07944154167984,0,0,0,0,2.24607371329009,0,0,0,"we month of have come to a end here to long night and dark sky u photo ig",18,0.222222222222222,0.166666666666667,1,0,0,1,1,6.04722222222222
"632",635,"2017-07-30","Columbia1938","Your camera needs eclipse glasses too. It's v. sensitive.",57,0,0,7,0,0,0,0,"Sunday",0,0,0,0,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,1.05824626876168,0,0,0,"you camera need eclipse glasse too it be v sensitive",10,0.3,0.1,1,0,1,0,0,6.266
"633",636,"2017-07-29","Columbia1938","Do you think animals need eclipse glasses to view the solar eclipse too? <U+0001F914>",74,0,0,10,0,0,0,0,"Saturday",0,0,0,0,0,1,2017,"July",0,0,0,0,0,0,1,0,0,0,0,22,0,1,0,0,0,0,1,1,0,1,2.30258509299405,0,0,0,0,0,1.4253929334341,0,1,0,"do you think animal need eclipse glass to view the solar eclipse too uf",14,0.214285714285714,0.214285714285714,1,1,0,0,0,6.25222222222222
"634",637,"2017-07-28","Columbia1938","#tfw you crawl into a freshly made bed. That's how this picture makes us feel. Warm and cozy. <U+0001F4F8>: [IG]  https://t.co/Aby31B0u2O",106,0,0,16,0,0,0,1,"Friday",0,0,0,0,1,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,22,0,1,1,1,1,1,1,1,1,1,2.77258872223978,0,0,0,0,0,2.11649253752336,0,0,0,"you crawl into a freshly make bed that be how this picture make we feel warm and cozy uff ig",20,0.15,0.2,0,0,1,0,0,6.36111111111111
"635",638,"2017-07-27","Columbia1938","Let's get out of the office and cool off for the weekend. A #cenote in the #Yucatan sounds ideal <U+0001F44C><U+0001F3FD> https://t.co/HqcqGBehTI https://t.co/CLmbDFvec5",123,0,0,19,5,1,0,1,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,2,1,2,1,0,1.4142135623731,2.94443897916644,1.6094379124341,0,0,0,0,2.48363920219578,0,0,0,"let get out of the office and cool off for the weekend a in the sound ideal ufcuffd",18,0.388888888888889,0.0555555555555556,0,0,0,0,1,6.23571428571429
"636",639,"2017-07-26","Columbia1938","Do you like #science? And #space? Mark you calendars for a special #FacebookLive on 8.2.17 @ 1:30PM EST https://t.co/ic64SIUWYz",103,0,0,7,2,0,0,1,"Wednesday",0,0,1,0,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,23,0,1,0,0,3,1,0,0,0,0,1.94591014905531,0.693147180559945,0,0,0,0,2.05170194963999,0,1,0,"do you like and mark you calendar for a special on pm est",13,0.307692307692308,0.153846153846154,0,0,0,0,1,6.47
"637",640,"2017-07-26","Columbia1938","Thanks   for 10 yrs of partnership! We are so grateful for the more than $1.2 mil you've given to #HelpingWomenNow. https://t.co/jb6l8yYygU",140,0,1,0,1,0,0,0,"Wednesday",0,0,1,0,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,18,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,2.8507858668682,0,0,0,"thanks for yr of partnership we be so grateful for the more than mil youve give to",17,0.235294117647059,0.0588235294117647,0,1,0,0,0,6.74833333333333
"638",641,"2017-07-25","Columbia1938","Pinch us! We must be dreaming <U+0001F633> Photo: [IG]   https://t.co/9gcS7qYoGd",54,0,0,23,3,0,0,1,"Tuesday",0,1,0,0,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,22,0,1,1,1,0,0,1,1,1,1,3.13549421592915,1.09861228866811,0,0,0,0,0.99345568087831,0,0,0,"pinch we we must be dreaming uf photo ig",9,0.222222222222222,0.222222222222222,0,0,0,1,0,5.36
"639",642,"2017-07-25","Columbia1938","Columbia Athlete   keeps it #TestedTough on the #golfcourse. https://t.co/BDPbCFpnXD https://t.co/Cu8EmfkQCP",97,0,0,4,0,1,0,1,"Tuesday",0,1,0,0,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,17,1,0,1,1,2,1,0,0,1,0,1.38629436111989,0,0,0,0,0,1.92212077387325,0,0,1,"columbia athlete keep it on the",6,0.333333333333333,0.166666666666667,0,0,1,0,0,6.265
"640",643,"2017-07-24","Columbia1938","Got a case of the #mondays? Let's cure that with a trip to #TierradelFuego https://t.co/2w4cn4Yk0q https://t.co/PMqCDYI09A",98,0,0,22,4,1,0,1,"Monday",1,0,0,0,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,22,0,1,0,0,2,1,0,0,0,0,3.09104245335832,1.38629436111989,0,0,0,0,1.94371763650104,0,1,0,"get a case of the let cure that with a trip to",12,0.333333333333333,0.0833333333333333,0,0,1,0,0,6.406
"641",644,"2017-07-23","Columbia1938","#NightPhotography tip #3: DON'T MOVE. Or sneeze. Or breath heavily.",67,0,0,12,1,0,0,0,"Sunday",0,0,0,0,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,22,0,1,0,0,2,1,0,0,0,0,2.484906649788,0,0,0,0,0,1.27421489503957,0,0,0,"tip do not move or sneeze or breath heavily",9,0.333333333333333,0.111111111111111,0,0,1,0,0,3.568
"642",645,"2017-07-23","Columbia1938","When the whole sky twinkles <U+2728> Photo: [IG]   https://t.co/s2Q3CyE5pE",52,0,0,20,2,0,0,1,"Sunday",0,0,0,0,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,1,1,0,0,1,1,1,1,2.99573227355399,0.693147180559945,0,0,0,0,0.950261955622732,0,0,0,"when the whole sky twinkle u photo ig",6,0.5,0,0,0,1,0,0,6.555
"643",646,"2017-07-22","Columbia1938","#NightPhotography tip #2: don't be afraid of the dark.",54,0,0,10,1,0,0,0,"Saturday",0,0,0,0,0,1,2017,"July",0,0,0,0,0,0,1,0,0,0,0,21,0,1,0,0,2,1,0,0,0,0,2.30258509299405,0,0,0,0,0,0.99345568087831,0,0,0,"tip do not be afraid of the dark",8,0.25,0,1,0,0,0,1,2.666
"644",647,"2017-07-22","Columbia1938","The eclipse promises to be a magnificent cosmic event. Be prepared: https://t.co/b6VRZfAcxt https://t.co/Hn5TH4eG95",91,0,0,7,1,1,0,1,"Saturday",0,0,0,0,0,1,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,1.79253959810652,0,0,0,"the eclipse promise to be a magnificent cosmic event be prepare",11,0.181818181818182,0.181818181818182,0,0,1,0,0,6.41875
"645",648,"2017-07-22","Columbia1938","#NightPhotography tip #1: remove the lens cap.",46,0,0,10,2,0,0,0,"Saturday",0,0,0,0,0,1,2017,"July",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,2.30258509299405,0.693147180559945,0,0,0,0,0.820680779855996,0,0,0,"tip remove the lens cap",5,0.6,0.2,1,0,0,0,0,5.35
"646",649,"2017-07-21","Columbia1938","Enjoy our #OMNItalk yesterday? Want more? Share your snaps on #instagram with #FindYourNightSky https://t.co/4HWlCJW3zD https://t.co/tOv9I0UmNK",119,0,0,8,1,1,0,1,"Friday",0,0,0,0,1,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,22,0,1,0,0,3,1,0,0,0,0,2.07944154167984,0,0,0,0,0,2.39725175168462,0,1,0,"enjoy we yesterday want more share you snap on with",10,0.3,0.2,1,0,0,0,0,6.0775
"647",650,"2017-07-20","Columbia1938","If you don't take off the lens cap, does it still count as a night photo?",73,0,0,22,2,0,0,0,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,3.09104245335832,0.693147180559945,0,0,0,0,1.40379607080631,0,1,0,"if you do not take off the lens cap do it still count as a night photo",17,0.235294117647059,0.117647058823529,0,0,0,0,1,4.44625
"648",651,"2017-07-20","Columbia1938","Aurora at night is a beautiful sight! #OMNItalk https://t.co/vh0hI6ZxCL",47,1,0,3,0,1,0,0,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,17,1,0,0,0,1,1,0,0,0,0,1.09861228866811,0,0,0,0,0,0.842277642483785,0,0,0,"aurora at night be a beautiful sight",7,0.285714285714286,0,0,0,1,0,0,6.895
"649",652,"2017-07-20","Columbia1938","Thanks for joining us! Tune in again next month <U+0001F60E> https://t.co/adR6rtrpkB",49,0,0,10,0,0,0,1,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,17,1,0,0,0,0,0,1,1,0,1,2.30258509299405,0,0,0,0,0,0.885471367739364,0,0,0,"thanks for join we tune in again next month ufe",10,0.4,0.1,0,0,1,0,0,6.759
"650",653,"2017-07-20","Columbia1938","  Big Sur is always fun to shoot in the dark! https://t.co/ZxYXXX3kJo",100,0,1,0,2,0,0,1,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,1,1,0,0,0,0,1,0,0,0.693147180559945,0,0,0,0,1.98691136175662,0,0,0,"big sur be always fun to shoot in the dark",10,0.2,0.1,1,0,0,0,0,5.754
"651",654,"2017-07-20","Columbia1938","Great tip, enjoy the moment <U+2728> https://t.co/xKwXT99nlC",29,1,0,3,0,1,0,0,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,0,0,1,1,0,1,1.09861228866811,0,0,0,0,0,0.453534115183577,0,0,0,"great tip enjoy the moment u",6,0.333333333333333,0.166666666666667,0,0,1,0,0,6.959
"652",655,"2017-07-20","Columbia1938","What are some tips for someone’s first night sky photo experience? #OMNtalk https://t.co/lcu1kKLlT5",75,0,0,6,0,0,0,1,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,1,1,0,0,0,0,1.79175946922805,0,0,0,0,0,1.44698979606189,0,1,0,"what be some tip for someone first night sky photo experience",11,0.545454545454545,0,1,0,0,0,0,6.82142857142857
"653",656,"2017-07-20","Columbia1938","Stunning shot of the #milkyway <U+0001F60D> https://t.co/mWELw9A6cA",32,1,0,3,0,1,0,0,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,1,1,1,1,0,1,1.09861228866811,0,0,0,0,0,0.518324703066945,0,0,0,"stun shot of the ufd",5,0.4,0.2,0,0,0,1,0,5.25333333333333
"654",657,"2017-07-20","Columbia1938","  Any location away from lights is perfect up in #Canada's north! https://t.co/VjCQgSUfHD",122,0,1,0,3,0,0,1,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,1,1,1,1,0,0,1,0,0,1.09861228866811,0,0,0,0,2.46204233956799,0,0,0,"any location away from light be perfect up in 's north",10,0.2,0,1,0,1,1,0,6.282
"655",658,"2017-07-20","Columbia1938","How do you choose the perfect location to shoot night photography? #OMNItalk https://t.co/R2YudzKxVV",76,0,0,14,0,0,0,1,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,1,1,0,0,0,0,2.63905732961526,0,0,0,0,0,1.46858665868968,0,1,0,"how do you choose the perfect location to shoot night photography",11,0.272727272727273,0.181818181818182,0,0,1,1,0,5.88857142857143
"656",659,"2017-07-20","Columbia1938","What gear do you use to capture the magic that happens after dark? #OMNItalk https://t.co/22q55LiIOG",76,0,0,5,0,0,0,1,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,1,1,0,0,0,0,1.6094379124341,0,0,0,0,0,1.46858665868968,0,1,0,"what gear do you use to capture the magic that happen after dark",13,0.153846153846154,0.230769230769231,0,1,0,0,1,5.51142857142857
"657",660,"2017-07-20","Columbia1938","A2 - All the challenges of a normal shoot or hike, but this time it's in complete darkness. Best to be extra prepared at night! #OMNItalk https://t.co/eTOB1Oh0h8",140,0,1,0,1,0,0,0,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.8507858668682,0,0,0,"a all the challenge of a normal shoot or hike but this time its in complete darkness best to be extra prepare at night",24,0.25,0.0416666666666667,0,1,0,0,0,5.72958333333333
"658",661,"2017-07-20","Columbia1938","The dancing ribbons of the #northernlights <U+0001F60D> https://t.co/3S3lw87lIC",44,1,0,9,1,1,0,0,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,1,1,1,1,0,1,2.19722457733622,0,0,0,0,0,0.777487054600417,0,0,0,"the dancing ribbon of the ufd",6,0.5,0,1,0,1,0,0,7.545
"659",662,"2017-07-20","Columbia1938","Stunning skies in the Colorado backcountry <U+0001F30C> https://t.co/wGVLBubwuL",44,1,0,3,0,1,0,0,"Thursday",0,0,0,1,0,0,2017,"July",0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,0,0,1,1,0,1,1.09861228866811,0,0,0,0,0,0.777487054600417,0,0,0,"stun sky in the colorado backcountry ufc",7,0.428571428571429,0.142857142857143,1,1,0,0,1,6.49
