"","x"
"(Intercept)",-1.63847740760653
"is_retweet",2.74167494718089
"video",2.41269338031512
"url_present",-0.911956701007963
"question",-1.31547838958445
"photo",0.966967323401677
"hashtag_presence",0.799039565343348
