"","model_AUC","logistic_target_RT","randomForest_target_RT","logistic_target_RT_norm","RF_target_RT_norm"
"1","train",0.857688821050022,0.85159107109651,0.827091224468123,0.818206507309993
"2","test",0.835164477255455,0.720290956465096,0.799737338362069,0.794983101489028
